House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
44,Marsh Turnpike,Bradley,Thompson,38,Husband,Married,Male,"Horticulturist, amenity",None,Catholic
44,Marsh Turnpike,Jack,Farmer,14,Son,NA,Male,Student,None,NA
44,Marsh Turnpike,Bruce,Farmer,10,Son,NA,Male,Student,None,NA
44,Marsh Turnpike,Leah,Farmer,8,Daughter,NA,Female,Student,None,NA
45,Marsh Turnpike,Billy,Bradshaw,69,Head,Married,Male,"Retired Engineer, drilling",None,None
45,Marsh Turnpike,Marion,Bradshaw,68,Wife,Married,Female,Retired Animal technologist,None,None
46,Marsh Turnpike,Vanessa,Phillips,39,Head,Married,Female,Systems analyst,None,Muslim
46,Marsh Turnpike,Abdul,Phillips,42,Husband,Married,Male,Food technologist,None,Muslim
46,Marsh Turnpike,Mark,Phillips,2,Son,NA,Male,Child,None,NA
47,Marsh Turnpike,Leon,Dobson,81,Head,Divorced,Male,"Retired Engineer, technical sales",None,Catholic
48,Marsh Turnpike,Tony,Hicks,35,Head,Single,Male,Building control surveyor,None,None
48,Marsh Turnpike,Charlene,Ryan,34,Partner,Single,Female,Electronics engineer,None,None
49,Marsh Turnpike,Andrea,Hardy,22,Head,Married,Female,University Student,None,Catholic
49,Marsh Turnpike,Lee,James,25,Husband,Married,Male,Actor,None,Catholic
49,Marsh Turnpike,Gerald,Hardy,3,Son,NA,Male,Child,None,NA
50,Marsh Turnpike,Lynn,Williams,32,Head,Married,Female,"Administrator, Civil Service",None,None
50,Marsh Turnpike,Leigh,Williams,36,Husband,Married,Male,Unemployed,None,None
50,Marsh Turnpike,Ellie,Williams,11,Daughter,NA,Female,Student,None,NA
50,Marsh Turnpike,Lawrence,Williams,8,Adopted Son,NA,Male,Student,None,NA
51,Marsh Turnpike,Maureen,Rose,56,Head,Married,Female,Cartographer,None,Christian
51,Marsh Turnpike,Timothy,Rose,61,Husband,Married,Male,Unemployed,None,Christian
52,Marsh Turnpike,Terry,Turner,39,Head,Divorced,Male,Quantity surveyor,None,Catholic
52,Marsh Turnpike,Jean,Wright,14,Step-Daughter,NA,Female,Student,None,NA
53,Marsh Turnpike,Gordon,Dunn,56,Head,Single,Male,"Teacher, English as a foreign language",None,Christian
53,Marsh Turnpike,Carolyn,Woods,50,None,Single,Female,Photographer,None,None
53,Marsh Turnpike,Robert,Lane,40,None,Single,Male,"Teacher, primary school",None,Christian
53,Marsh Turnpike,Oliver,Williams,19,None,Single,Male,University Student,None,Christian
54,Marsh Turnpike,Lisa,Gibson,68,Head,Married,Female,Retired Broadcast presenter,None,Christian
54,Marsh Turnpike,Kieran,Gibson,64,Husband,Married,Male,Unemployed,None,Christian
55,Marsh Turnpike,Luke,Patel,37,Head,Single,Male,"Pharmacist, community",None,None
1,Cottinghamnail Road,Sean,Barnes,72,Head,Widowed,Male,Retired Communications engineer,None,None
1,Cottinghamnail Road,Clive,Barnes,40,Son,Divorced,Male,"Therapist, horticultural",None,None
1,Cottinghamnail Road,Toby,Barnes,37,Son,Single,Male,Community development worker,None,None
1,Cottinghamnail Road,Zoe,Barnes,35,Daughter,Single,Female,Primary school teacher,None,None
2,Cottinghamnail Road,Louise,Cook-Kaur,78,Head,Married,Female,"Retired Teacher, early years/pre",None,Muslim
2,Cottinghamnail Road,Leonard,Cook-Kaur,83,Husband,Married,Male,"Retired Accountant, chartered public finance",None,Muslim
3,Cottinghamnail Road,Bradley,Shah,44,Head,Married,Male,Environmental manager,None,None
3,Cottinghamnail Road,Hayley,Shah,45,Wife,Married,Female,"Social research officer, government",None,None
4,Cottinghamnail Road,Christopher,Hall,42,Head,Single,Male,"Scientist, research (life sciences)",None,Christian
5,Cottinghamnail Road,Jean,Lawrence,36,Head,Single,Female,"Editor, commissioning",None,Methodist
5,Cottinghamnail Road,Richard,Brennan,18,Lodger,Single,Male,Student,None,NA
6,Cottinghamnail Road,Leanne,Gill,37,Head,Widowed,Female,Chartered legal executive (England and Wales),None,Catholic
6,Cottinghamnail Road,Anna,Wright,25,Lodger,Single,Female,"Education officer, environmental",None,Christian
7,Cottinghamnail Road,Lisa,Marsh,30,Head,Married,Female,"Research officer, trade union",None,None
7,Cottinghamnail Road,David,Marsh,33,Husband,Married,Male,Medical secretary,None,None
7,Cottinghamnail Road,Beverley,Marsh,11,Daughter,NA,Female,Student,None,NA
7,Cottinghamnail Road,Jill,Marsh,10,Daughter,NA,Female,Student,None,NA
7,Cottinghamnail Road,Richard,Marsh,8,Son,NA,Male,Student,None,NA
8,Cottinghamnail Road,Jamie,Davies,40,Head,Single,Male,Tourist information centre manager,None,Methodist
9,Cottinghamnail Road,Rhys,Hill,27,Head,Single,Male,Industrial/product designer,None,Catholic
9,Cottinghamnail Road,Martin,Hill,11,Son,NA,Male,Student,None,NA
9,Cottinghamnail Road,Angela,Hill,7,Daughter,NA,Female,Student,None,NA
9,Cottinghamnail Road,Graeme,Hill,4,Son,NA,Male,Child,None,NA
9,Cottinghamnail Road,Ian,Hill,3,Son,NA,Male,Child,None,NA
10,Cottinghamnail Road,Claire,Dennis,56,Head,Married,Female,"Accountant, chartered public finance",None,Methodist
10,Cottinghamnail Road,Brandon,Dennis,60,Husband,Married,Male,Publishing rights manager,None,Methodist
10,Cottinghamnail Road,Terry,Dennis,22,Son,Single,Male,University Student,None,Methodist
10,Cottinghamnail Road,Jasmine,Dennis,20,Daughter,Single,Female,University Student,None,None
10,Cottinghamnail Road,Susan,Dennis,16,Daughter,NA,Female,Student,None,NA
11,Cottinghamnail Road,Amelia,Smith,56,Head,Married,Female,Magazine features editor,Blind,Christian
11,Cottinghamnail Road,Martyn,Smith,62,Husband,Married,Male,Patent attorney,None,None
12,Cottinghamnail Road,Eleanor,Bell,44,Head,Single,Female,Company secretary,None,Christian
12,Cottinghamnail Road,Melanie,Farmer,32,None,Single,Female,Research scientist (medical),None,Christian
13,Cottinghamnail Road,Thomas,Hall,89,Head,Widowed,Male,"Retired Scientist, clinical (histocompatibility and immunogenetics)",None,Catholic
14,Cottinghamnail Road,Mark,Osborne,70,Head,Married,Male,Retired Retail buyer,None,None
14,Cottinghamnail Road,Lauren,Osborne,70,Wife,Married,Female,"Retired Restaurant manager, fast food",None,None
15,Cottinghamnail Road,Sally,Thompson,58,Head,Married,Female,Ecologist,None,Christian
15,Cottinghamnail Road,Declan,Thompson,63,Husband,Married,Male,Forensic psychologist,None,Christian
15,Cottinghamnail Road,Anthony,Thompson,23,Son,Single,Male,Careers adviser,None,Christian
15,Cottinghamnail Road,Roger,Thompson,15,Son,NA,Male,Student,None,NA
15,Cottinghamnail Road,Kyle,Thompson,12,Son,NA,Male,Student,None,NA
16,Cottinghamnail Road,Kerry,Hammond,46,Head,Married,Female,Conference centre manager,None,None
16,Cottinghamnail Road,Geoffrey,Hammond,52,Husband,Married,Male,Site engineer,None,None
16,Cottinghamnail Road,Alexandra,Hammond,16,Daughter,NA,Female,Student,None,NA
17,Cottinghamnail Road,Kenneth,Brown,76,Head,Widowed,male,Retired Television floor manager,None,Methodist
18,Cottinghamnail Road,Barbara,Carr,50,Head,Married,Female,Unemployed,None,Catholic
18,Cottinghamnail Road,Robin,Carr,52,Husband,Married,Male,Community pharmacist,None,Catholic
18,Cottinghamnail Road,Ben,Carr,7,Son,NA,Male,Student,None,NA
19,Cottinghamnail Road,Aimee,Hicks,35,Head,Single,Female,"Designer, textile",None,Christian
19,Cottinghamnail Road,Jake,Pearson,54,None,Single,Male,English as a foreign language teacher,None,None
19,Cottinghamnail Road,Kimberley,Thomson,50,None,Single,Female,Web designer,None,Methodist
20,Cottinghamnail Road,Michael,Hamilton,83,Head,Widowed,Male,Retired Adult nurse,None,Methodist
21,Cottinghamnail Road,Jade,Berry,46,Head,Single,Female,Unemployed,None,None
21,Cottinghamnail Road,Joel,Berry,11,Son,NA,Male,Student,None,NA
21,Cottinghamnail Road,Dominic,Berry,10,Son,NA,Male,Student,None,NA
21,Cottinghamnail Road,Glen,Williamson-Berry,6,Son,NA,Male,Student,None,NA
22,Cottinghamnail Road,Cameron,Saunders,104,Head,Married,Male,"Retired Radiographer, therapeutic",None,Catholic
22,Cottinghamnail Road,Lorraine,Saunders,101,Wife,Married,Female,Retired Editorial assistant,None,Catholic
23,Cottinghamnail Road,Louis,Bird,24,Head,Married,Male,"Engineer, civil (contracting)",None,None
23,Cottinghamnail Road,Barbara,Bird,21,Wife,Married,Female,University Student,None,None
24,Cottinghamnail Road,Dorothy,Warner,46,Head,Single,Female,"Radiographer, therapeutic",None,Methodist
25,Cottinghamnail Road,Katy,Swift,34,Head,Married,Female,Oceanographer,None,Methodist
25,Cottinghamnail Road,Aaron,Swift,39,Husband,Married,Male,Nutritional therapist,None,Methodist
25,Cottinghamnail Road,Maria,Swift,8,Daughter,NA,Female,Student,None,NA
26,Cottinghamnail Road,Kathleen,Berry,22,Head,Single,Female,University Student,None,None
26,Cottinghamnail Road,Mark,Edwards,20,None,Single,Male,University Student,None,Catholic
27,Cottinghamnail Road,Sam,Stephenson,70,Head,Married,Male,Retired Technical sales engineer,None,None
27,Cottinghamnail Road,Chloe,Stephenson,66,Wife,Married,Female,Investment analyst,None,None
28,Cottinghamnail Road,Allan,Briggs,57,Head,Married,Male,Oceanographer,None,None
28,Cottinghamnail Road,Julie,Briggs,62,Wife,Married,Female,Physiological scientist,None,None
29,Cottinghamnail Road,Darren,Young,27,Head,Divorced,Male,Systems developer,None,None
1,Bradford Avenue,Lindsey,Patel,46,Head,Widowed,Female,"Psychotherapist, child",None,None
1,Bradford Avenue,Marcus,Patel,15,Son,NA,Male,Student,None,NA
1,Bradford Avenue,Stanley,Patel,14,Son,NA,Male,Student,None,NA
1,Bradford Avenue,Billy,Patel,12,Son,NA,Male,Student,None,NA
1,Bradford Avenue,Carol,Patel,8,Daughter,NA,Female,Student,None,NA
2,Bradford Avenue,Geoffrey,May,56,Head,Married,Male,Chief Executive Officer,None,Christian
2,Bradford Avenue,Donna,May,49,Wife,Married,Female,Press photographer,None,Christian
3,Bradford Avenue,Kim,Gordon,71,Head,Widowed,Female,Retired Corporate treasurer,None,Christian
4,Bradford Avenue,Sharon,Scott,48,Head,Single,Female,Immigration officer,None,Methodist
4,Bradford Avenue,Sharon,Green,51,Cousin,Single,Female,Adult nurse,None,Methodist
5,Bradford Avenue,Jemma,Johnson,28,Head,Married,Female,Fashion designer,None,None
5,Bradford Avenue,Cameron,Johnson,29,Husband,Married,Male,"Engineer, control and instrumentation",None,None
5,Bradford Avenue,Dennis,Johnson,3,Son,NA,Male,Child,None,NA
6,Bradford Avenue,Carole,Farrell,69,Head,Widowed,Female,Retired Barista,None,None
7,Bradford Avenue,Ellie,Thompson,54,Head,Divorced,Female,Barrister's clerk,None,None
7,Bradford Avenue,Liam,Thompson,38,Son,Single,Male,Barrister's clerk,None,None
7,Bradford Avenue,Clare,Thompson,32,Daughter,Widowed,Female,Minerals surveyor,None,None
7,Bradford Avenue,Hollie,Thompson,28,Daughter,Single,Female,"Engineer, petroleum",None,None
7,Bradford Avenue,Lewis,Thompson,24,Son,Single,Male,Emergency planning/management officer,None,None
8,Bradford Avenue,Caroline,Bell,33,Head,Married,Female,"Psychotherapist, dance movement",None,Christian
8,Bradford Avenue,Adrian,Bell,35,Husband,Married,Male,"Journalist, newspaper",None,Christian
8,Bradford Avenue,Molly,Bell,9,Daughter,NA,Female,Student,None,NA
8,Bradford Avenue,Jacqueline,Bell,4,Daughter,NA,Female,Child,None,NA
9,Bradford Avenue,Marie,Taylor,50,Head,Married,Female,Human resources officer,None,Catholic
9,Bradford Avenue,Jason,Taylor,52,Husband,Married,Male,Psychotherapist,None,None
10,Bradford Avenue,Fiona,Rowe,45,Head,Married,Female,Hospital pharmacist,None,Christian
10,Bradford Avenue,Roger,Rowe,49,Husband,Married,Male,Social researcher,None,Christian
10,Bradford Avenue,Barry,Rowe,8,Son,NA,Male,Student,None,NA
11,Bradford Avenue,Diane,King,38,Head,Married,Female,Equality and diversity officer,None,Christian
11,Bradford Avenue,Wayne,King,42,Husband,Married,Male,Wellsite geologist,None,Christian
11,Bradford Avenue,Graeme,King,16,Adopted Son,NA,Male,Student,None,NA
11,Bradford Avenue,Karen,King,7,Daughter,NA,Female,Student,None,NA
12,Bradford Avenue,Kenneth,Butler,25,Head,Single,Male,"Buyer, retail",None,Christian
12,Bradford Avenue,Jemma,Turner,25,Partner,Single,Female,"Journalist, newspaper",None,Christian
13,Bradford Avenue,Carly,Collins,58,Head,Divorced,Female,Ranger/warden,None,None
14,Bradford Avenue,Adrian,Brown,48,Head,Married,Male,"Engineer, agricultural",None,Catholic
14,Bradford Avenue,Brenda,Brown,46,Wife,Married,Female,Unemployed,None,Catholic
14,Bradford Avenue,Malcolm,Brown,24,Son,Single,Male,"Editor, commissioning",None,Catholic
15,Bradford Avenue,Kevin,Brennan,58,Head,Single,Male,Museum/gallery conservator,None,Christian
15,Bradford Avenue,Edward,Brennan,26,Son,Single,Male,Armed forces logistics/support/administrative officer,None,Christian
16,Bradford Avenue,Naomi,Stevens,39,Head,Single,Female,Unemployed,None,Christian
16,Bradford Avenue,Shane,Stevens,10,Son,NA,Male,Student,None,NA
17,Bradford Avenue,Luke,Hill,25,Head,Single,Male,Amenity horticulturist,None,Jewish
17,Bradford Avenue,Megan,Woodward,20,Partner,Single,Female,University Student,None,None
18,Bradford Avenue,Irene,Smith,53,Head,Married,Female,Water engineer,None,Methodist
18,Bradford Avenue,Mathew,Smith,51,Husband,Married,Male,Unemployed,None,Methodist
18,Bradford Avenue,Stephen,Smith,13,Son,NA,Male,Student,None,NA
19,Bradford Avenue,June,Hunter,54,Head,Divorced,Female,Unemployed,None,Methodist
19,Bradford Avenue,Callum,Hunter,23,Son,Single,Male,Exercise physiologist,None,Methodist
20,Bradford Avenue,Gemma,Evans,62,Head,Single,Female,"Scientist, research (physical sciences)",None,None
20,Bradford Avenue,Marcus,Woods,64,Partner,Single,Male,Glass blower/designer,None,None
21,Bradford Avenue,Francis,Knowles,18,Head,Married,Male,Student,None,NA
21,Bradford Avenue,Geraldine,Knowles,19,Wife,Married,Female,University Student,None,NA
22,Bradford Avenue,Teresa,Wallis,76,Head,Married,Female,"Retired Runner, broadcasting/film/video",None,Christian
22,Bradford Avenue,Gerard,Wallis,78,Husband,Married,Male,Retired Hospital doctor,None,None
23,Bradford Avenue,Joanna,North,53,Head,Single,Female,"Accountant, chartered",None,Christian
23,Bradford Avenue,Gareth,Brown,5,Grandson,NA,Male,Student,None,NA
24,Bradford Avenue,Marie,Smith,53,Head,Married,Female,Television floor manager,None,Catholic
24,Bradford Avenue,Josh,Smith,55,Husband,Married,Male,Merchant navy officer,None,None
24,Bradford Avenue,Benjamin,Smith,5,Son,NA,Male,Student,None,NA
24,Bradford Avenue,Mathew,Smith,5,Son,NA,Male,Student,None,NA
24,Bradford Avenue,Jean,Smith,4,Daughter,NA,Female,Child,None,NA
25,Bradford Avenue,Caroline,Lloyd,53,Head,Married,Female,Investment analyst,None,Christian
25,Bradford Avenue,Gerald,Lloyd,56,Husband,Married,Male,"Buyer, industrial",None,Christian
26,Bradford Avenue,Albert,Jones,60,Head,Single,Male,"Engineer, site",None,Christian
26,Bradford Avenue,Sharon,Bibi,53,Partner,Single,Female,"Surveyor, minerals",None,Christian
27,Bradford Avenue,Diane,O'Brien,44,Head,Single,Female,Unemployed,None,Catholic
27,Bradford Avenue,Adrian,O'Brien,12,Son,NA,Male,Student,None,NA
28,Bradford Avenue,Rita,Smith,88,Head,Married,Female,"Retired Nurse, mental health",None,Methodist
28,Bradford Avenue,Lee,Smith,88,Husband,Married,Male,Retired Air cabin crew,None,Methodist
29,Bradford Avenue,Alexandra,Hall,31,Head,Divorced,Female,Unemployed,None,Methodist
29,Bradford Avenue,Ben,Hall,0,Son,NA,Male,Child,None,NA
30,Bradford Avenue,Damien,Wheeler,68,Head,Married,Male,Retired Building surveyor,None,Christian
30,Bradford Avenue,Yvonne,Wheeler,70,Wife,Married,Female,"Retired Solicitor, Scotland",None,Christian
